rid,eqtime,avsize,finalsize,stateent,runtime,netent
23819,14.000000,594.667000,1717,-0.692984,10.370000,-1.275440
23820,12.000000,587.000000,1672,0.000000,9.150000,-1.279810
23821,13.000000,606.333000,1754,-0.687144,10.210000,-1.258020
23822,13.333300,597.333000,1719,-0.236246,10.380000,-1.247310
23823,14.000000,599.000000,1739,-0.692988,10.240000,-1.271440
23824,15.000000,602.667000,1730,0.000000,12.650000,-1.246900
23825,13.333300,597.667000,1722,-0.660742,10.380000,-1.266580
23826,40.333300,594.000000,1702,-0.104732,39.970000,-1.272340
23827,13.000000,594.667000,1689,-0.677816,9.600000,-1.263010
23828,39.666700,601.000000,1737,0.000000,40.790000,-1.270500
23829,12.000000,591.667000,1720,-0.681321,9.710000,-1.268520
23830,12.000000,595.000000,1710,-0.226001,8.620000,-1.277520
23831,14.000000,596.667000,1706,-0.689679,11.800000,-1.272390
23832,11.333300,593.667000,1700,0.000000,8.740000,-1.262190
23833,11.666700,583.667000,1670,-0.657049,9.120000,-1.271280
23834,14.000000,592.667000,1715,-0.110706,10.840000,-1.264870
23835,11.333300,582.667000,1638,-0.675825,8.100000,-1.266890
23836,12.333300,588.333000,1700,0.000000,9.050000,-1.266420
23837,14.666700,598.333000,1763,-0.685412,10.450000,-1.250030
23838,39.666700,613.000000,1775,-0.198930,40.770000,-1.274320
23839,40.000000,600.667000,1728,-0.690734,40.860000,-1.253360
23840,11.333300,605.667000,1759,0.000000,8.930000,-1.257170
23841,13.333300,595.000000,1700,-0.689944,10.160000,-1.267990
23842,13.333300,585.667000,1683,-0.105665,9.320000,-1.257590
